attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
38.0,15.43,17.61,14.74,16.85,12.68,19.08,8.5,11.03,19.45,22.82
40.0,8.71,14.8,23.04,25.8,12.4,22.43,9.68,26.36,16.54


attn,_TDD_8ms_75-25,_TDD_2ms_50-50,_TDD_4ms_25-75,_TDD_2ms_75-25,_TDD_8ms_50-50,_TDD_4ms_75-25,_80211,_TDD_2ms_25-75,_TDD_4ms_50-50,_TDD_8ms_25-75
0.0,4.16,33.87,15.63,3.78,10.34,31.79,0.49,3.73,7.08,10.61
2.0,3.83,32.24,5.06,3.78,11.83,27.86,0.61,2.0,7.62,9.37
4.0,4.16,33.61,9.32,3.72,4.75,31.98,0.74,0.75,7.75,5.83
6.0,4.23,32.45,5.24,4.01,4.85,15.83,1.28,4.68,5.88,10.2
8.0,4.44,32.24,3.13,4.11,4.96,39.25,1.39,3.11,6.84,5.97
10.0,5.37,28.14,4.46,3.98,5.38,34.36,1.4,2.68,7.26,6.39
12.0,5.46,9.13,4.8,4.27,5.97,26.22,1.43,0.0,7.59,6.32
14.0,5.71,5.63,5.32,4.61,5.71,19.71,1.48,0.63,8.53,6.58
16.0,6.77,4.0,5.64,4.28,6.22,20.17,0.6,1.0,7.72,6.38
18.0,11.3,14.6,5.53,6.09,11.07,18.56,1.57,4.62,10.96,7.18
20.0,7.23,9.78,4.8,1.33,7.39,32.32,1.3,4.51,5.28,21.86
22.0,4.84,9.01,5.03,0.39,5.46,30.23,1.14,5.26,5.82,10.96
24.0,5.64,5.89,3.44,0.0,4.67,35.62,0.92,2.87,4.73,9.14
26.0,5.63,7.36,6.46,13.23,5.91,25.07,0.08,6.14,6.74,7.42
28.0,5.46,5.73,25.64,13.57,5.75,9.64,3.28,2.42,6.79,2.25
30.0,4.66,6.96,17.05,4.87,6.78,9.37,3.65,1.67,4.43,7.34
32.0,9.68,9.25,14.76,6.81,8.82,9.57,5.46,5.1,7.88,2.5
34.0,6.96,7.72,6.32,0.0,10.62,11.63,25.98,11.32,11.7,1.19
